Card	Count	Color	CMC	Type	Mana Cost	ACC	RCC	Decks
Mindslicer	1	B	4	Creature	2BB	N/A	N/A	Honorbru Meren
Mirri's Guile	3	G	1	Enchantment	G	N/A	N/A	Food Chain Prossh, Midrange Yisan, Scepter Control
Misdirection	4	U	5	Instant	3UU	0	N/A	4c Rashmi, E-MAN, Najeela Hermit Hulk, Shuffle Hulk
Mishra's Bauble	1	C	0	Artifact	0	N/A	N/A	Sidisi Ad Naus Fishbowl
Mishra's Factory	1	C	0	Land	N/A	N/A	N/A	Paradox Arcum
Mishra's Workshop	1	C	0	Land	N/A	N/A	N/A	Paradox Arcum
Mission Briefing	1	U	2	Instant	UU	N/A	N/A	Seasons Pastigur
Mist-Cloaked Herald	1	U	1	Creature	U	N/A	N/A	Edric Turns
Misthollow Griffin	2	U	4	Creature	2UU	N/A	N/A	Food Chain Tazri, Tazri Hulk
Mistveil Plains	1	W	0	Land	N/A	N/A	N/A	Paradox Sisay
Misty Rainforest	54	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Mnemonic Betrayal	3	UB	3	Sorcery	1UB	N/A	N/A	Divergent Control, Jeleva Storm, Opus Thief
Mogg Salvage	1	R	3	Instant	2R	N/A	N/A	Godo Helm
Mogis's Marauder	1	B	3	Creature	2B	N/A	N/A	SBT Grave Combos
Momentous Fall	1	G	4	Instant	2GG	N/A	N/A	Selvala Brostorm
Momir Vig, Simic Visionary	1	UG	5	Creature	3GU	N/A	N/A	Momir Hackball
Morphic Pool	18	UB	0	Land	N/A	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Breakfast Hulk, Breya Consultation, Divergent Control, Grixis Consultation, Grixis Twin, Jeleva Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, Scepter Control, Scion Reanimator, Shuffle Hulk, Zuran Consultation
Morselhoarder	1	RG	6	Creature	4R/GR/G	N/A	N/A	Nooze Reanimator
Mother of Runes	1	W	1	Creature	W	N/A	N/A	Paradox Sisay
Mountain	1	R	0	Land	N/A	N/A	N/A	Godo Helm
Mouth of Ronom	2	C	0	Land	N/A	N/A	N/A	Midrange Yisan, Selvala Brostorm
Mox Amber	5	C	0	Artifact	0	N/A	N/A	Baral Control, Divergent Control, E-MAN, HE-MAN, Paradox Sisay
Mox Diamond	57	C	0	Artifact	0	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Blood Pod, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Mox Opal	25	C	0	Artifact	0	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Baral Control, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Godo Helm, Grixis Consultation, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Paradox Arcum, Paradox Sisay, Shimmer Zur, Sidisi Ad Naus Fishbowl, Teferi Chain Veil, Zuran Consultation
Muddle the Mixture	5	U	2	Instant	UU	N/A	N/A	Baral Control, High Tide Jace, Paradox Scepter Thrasios, Rashmi Control, Teferi Chain Veil
Mulldrifter	1	U	5	Creature	4U	N/A	2U	Harvest Animar
Murderous Redcap	1	BR	4	Creature	2B/RB/R	N/A	N/A	T&T Hulkball
Myr Moonvessel	2	C	1	Artifact Creature	1	N/A	N/A	Bad Farm, Mad Farm
Myr Retriever	1	C	2	Artifact Creature	2	N/A	N/A	Paradox Arcum
Mystic Confluence	1	U	5	Instant	3UU	N/A	N/A	Baral Control
Mystic Remora	42	U	1	Enchantment	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Mystical Tutor	43	U	1	Instant	U	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Najeela, the Blade-Blossom	2	WUBRG	3	Creature	2R	N/A	N/A	Najeela Hermit Hulk, Najeela Tempo
Nantuko Tracer	1	G	2	Creature	1G	N/A	N/A	Momir Hackball
Narcomoeba	7	U	2	Creature	1U	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk, SBT Grave Combos, Shuffle Hulk, Tazri Hulk
Natural Order	5	G	4	Sorcery	2GG	N/A	N/A	Midrange Yisan, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Varolz Hulk
Natural State	7	G	1	Instant	G	N/A	N/A	BUGR Paradox Scepter, HE-MAN, Hulkweaver, Mimeo Reanimator Hulk, Najeela Tempo, Rashmi Control, T&T Hulkball
Nature's Claim	34	G	1	Instant	G	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Honorbru Meren, Hulkweaver, Melt Banana, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Nature's Lore	1	G	2	Sorcery	1G	N/A	N/A	Rashmi Control
Nature's Will	2	G	4	Enchantment	2GG	N/A	N/A	Najeela Hermit Hulk, Najeela Tempo
Necromancy	17	B	3	Enchantment	2B	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Doomsday Breya, Grixis Twin, Honorbru Meren, Hulkweaver, Mad Farm, Meta Pod, Mimeo Reanimator Hulk, Nooze Reanimator, Razakats, SBT Grave Combos, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Necropotence	23	B	3	Enchantment	BBB	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Mad Farm, Opus Thief, Paradox Scepter Thrasios, SBT Grave Combos, Scepter Control, Shimmer Zur, Tazri Hulk, Varolz Hulk, Zuran Consultation
Necrotic Ooze	3	B	4	Creature	2BB	N/A	N/A	Mimeo Reanimator Hulk, Nooze Reanimator, SBT Grave Combos
Need for Speed	1	R	1	Enchantment	R	N/A	N/A	5c Lightning Druid
Negate	22	U	2	Instant	1U	N/A	N/A	4c Rashmi, Baral Control, Breya Consultation, Divergent Control, Doomsday Zur, E-MAN, Edric Turns, Grixis Consultation, HE-MAN, High Tide Jace, Hulkweaver, Mimeo Reanimator Hulk, Momir Hackball, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Nettle Sentinel	1	G	1	Creature	G	N/A	N/A	Momir Hackball
Nexus of Fate	1	U	7	Instant	5UU	N/A	N/A	Edric Turns
Nezahal, Primal Tide	1	U	7	Creature	5UU	N/A	N/A	Mimeo Reanimator Hulk
Night's Whisper	5	B	2	Sorcery	1B	N/A	N/A	Doomsday Breya, Doomsday Zur, HE-MAN, Jeleva Storm, Kess Storm
Nightveil Sprite	1	U	2	Creature	1U	N/A	N/A	Edric Turns
Nihil Spellbomb	3	B	1	Artifact	1	N/A	N/A	Bad Farm, Mad Farm, Shimmer Zur
Niv-Mizzet, Dracogenius	1	UR	6	Creature	2UURR	N/A	N/A	Scion Reanimator
Noble Hierarch	15	WUG	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, E-MAN, Food Chain Tazri, HE-MAN, Hulkweaver, Najeela Hermit Hulk, Najeela Tempo, Paradox Scepter Thrasios, Rad Farm, Razakats, Scion Reanimator, Shuffle Hulk, Tazri Hulk
Nomads en-Kor	5	W	1	Creature	W	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk, Shuffle Hulk
Noose Constrictor	1	G	2	Creature	1G	N/A	N/A	Gitrog Dredge
Notion Thief	22	UB	4	Creature	2UB	N/A	N/A	BUGR Paradox Scepter, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Grixis Consultation, Grixis Twin, HE-MAN, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Razakats, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Zuran Consultation
Notorious Throng	1	U	4	Sorcery	3U	N/A	5U	Edric Turns
Noxious Revival	33	G	1	Instant	G/P	0	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shuffle Hulk, Tazri Hulk
Null Rod	8	C	2	Artifact	2	N/A	N/A	Blood Pod, Edric Turns, Honorbru Meren, Meta Pod, Midrange Yisan, Momir Hackball, Najeela Tempo, Paradox Sisay
Nykthos, Shrine to Nyx	3	C	0	Land	N/A	N/A	N/A	Edric Turns, Midrange Yisan, Selvala Brostorm
Oblivion Crown	1	B	2	Enchantment	1B	N/A	N/A	Gitrog Dredge
Obsessive Search	2	U	1	Instant	U	N/A	U	Baral Control, High Tide Jace
Okina, Temple to the Grandfathers	1	G	0	Land	N/A	N/A	N/A	Paradox Sisay
Oppression	1	B	3	Enchantment	1BB	N/A	N/A	Honorbru Meren
Opt	6	U	1	Instant	U	N/A	N/A	BUGR Paradox Scepter, Baral Control, HE-MAN, High Tide Jace, Kraum's MANly Combo, Shimmer Zur
Orcish Lumberjack	3	RG	1	Creature	R	N/A	N/A	5c Lightning Druid, Food Chain Prossh, Melt Banana
Ornithopter	3	C	0	Artifact Creature	0	N/A	N/A	Buried Alive Razaketh Sidisi, Paradox Arcum, Sidisi Ad Naus Fishbowl
Orzhov Signet	2	WB	2	Artifact	2	N/A	N/A	Mad Farm, Shimmer Zur
Overeager Apprentice	2	B	3	Creature	2B	N/A	N/A	Mad Farm, Sidisi Ad Naus Fishbowl
Overgrown Tomb	28	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Divergent Control, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Seasons Pastigur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Pact of Negation	37	U	0	Instant	0	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Zur, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Palinchron	1	U	7	Creature	5UU	N/A	N/A	High Tide Jace
Palladium Myr	1	C	3	Artifact Creature	3	N/A	N/A	Paradox Arcum
Panharmonicon	1	C	4	Artifact	4	N/A	N/A	Godo Helm
Paradox Engine	15	C	5	Artifact	5	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Buried Alive Razaketh Sidisi, Divergent Control, E-MAN, Godo Helm, HE-MAN, Kraum's MANly Combo, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Seasons Pastigur, Selvala Brostorm, Sidisi Ad Naus Fishbowl
Part the Waterveil	1	U	6	Sorcery	4UU	N/A	N/A	Edric Turns
Past in Flames	1	R	4	Sorcery	3R	N/A	N/A	Melt Banana
Path to Exile	2	W	1	Instant	W	N/A	N/A	Paradox Sisay, T&T Hulkball
Pattern of Rebirth	4	G	4	Enchantment	3G	N/A	N/A	Honorbru Meren, Shuffle Hulk, T&T Hulkball, Varolz Hulk
Peat Bog	2	B	0	Land	N/A	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Pendelhaven	1	G	0	Land	N/A	N/A	N/A	Paradox Sisay
Peregrine Drake	1	U	5	Creature	4U	N/A	N/A	Harvest Animar
Pernicious Deed	3	BG	3	Enchantment	1BG	N/A	N/A	Bad Farm, Gitrog Dredge, Seasons Pastigur
Personal Tutor	2	U	1	Sorcery	U	N/A	N/A	Edric Turns, High Tide Jace
Pestermite	1	U	3	Creature	2U	N/A	N/A	Grixis Twin
Petrified Field	1	C	0	Land	N/A	N/A	N/A	Gitrog Dredge
Phantasmal Image	4	U	2	Creature	1U	N/A	N/A	Edric Turns, Harvest Animar, Hulkweaver, Momir Hackball
Phyrexian Delver	3	B	5	Creature	3BB	N/A	N/A	Buried Alive Razaketh Sidisi, Grixis Twin, Honorbru Meren
Phyrexian Devourer	1	C	6	Artifact Creature	6	N/A	N/A	Mimeo Reanimator Hulk
Phyrexian Dreadnought	1	C	1	Artifact Creature	1	N/A	N/A	Selvala Brostorm
Phyrexian Metamorph	1	U	4	Artifact Creature	3U/P	3	N/A	Harvest Animar
Phyrexian Revoker	4	C	2	Artifact Creature	2	N/A	N/A	Edric Turns, Midrange Yisan, Paradox Arcum, Paradox Sisay
Phyrexian Soulgorger	1	C	3	Artifact Creature	3	N/A	N/A	Selvala Brostorm
Phyrexian Tower	7	B	0	Land	N/A	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Gitrog Dredge, Honorbru Meren, Mad Farm, Sidisi Ad Naus Fishbowl, Varolz Hulk
Phyrexian Unlife	1	W	3	Enchantment	2W	N/A	N/A	Zuran Consultation
Phyrexian Walker	2	C	0	Artifact Creature	0	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Phytoburst	1	G	2	Sorcery	1G	N/A	N/A	Selvala Brostorm
Pithing Needle	1	C	1	Artifact	1	N/A	N/A	Paradox Arcum
Plague Myr	1	C	2	Artifact Creature	2	N/A	N/A	Paradox Arcum
Plaguecrafter	1	B	3	Creature	2B	N/A	N/A	Honorbru Meren
Plains	4	W	0	Land	N/A	N/A	N/A	Blood Pod, Meta Pod, Paradox Sisay, T&T Hulkball
Plateau	6	C	0	Land	N/A	N/A	N/A	Blood Pod, Doomsday Breya, Kraum's MANly Combo, Mad Farm, Meta Pod, T&T Hulkball
Plunge into Darkness	6	B	2	Instant	1B	N/A	N/A	Breya Consultation, Food Chain Prossh, Food Chain Tazri, Kraum's MANly Combo, Najeela Tempo, Paradox Scepter Thrasios
Polluted Delta	53	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Ponder	37	U	1	Sorcery	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Pongify	6	U	1	Instant	U	N/A	N/A	High Tide Jace, Momir Hackball, Rashmi Control, Scepter Control, Scion Reanimator, Shuffle Hulk
Possibility Storm	1	R	5	Enchantment	3RR	N/A	N/A	Godo Helm
Postmortem Lunge	3	B	1	Sorcery	XB/P	X	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk
Power Artifact	2	U	2	Enchantment	UU	N/A	N/A	Paradox Arcum, Teferi Chain Veil
Praetor's Grasp	11	B	3	Sorcery	1BB	N/A	N/A	Bad Farm, Breya Consultation, E-MAN, Gitrog Dredge, Grixis Consultation, Kraum's MANly Combo, Mad Farm, Scepter Control, Seasons Pastigur, Sidisi Ad Naus Fishbowl, Zuran Consultation
Predict	1	U	2	Instant	1U	N/A	N/A	Doomsday Zur
Preordain	32	U	1	Sorcery	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Scion Reanimator, Shimmer Zur, Shuffle Hulk, Teferi Chain Veil, Zuran Consultation
Priest of Titania	15	G	2	Creature	1G	N/A	N/A	Bad Farm, Edric Turns, Gitrog Dredge, Harvest Animar, Honorbru Meren, Midrange Yisan, Momir Hackball, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, Seasons Pastigur, Selvala Brostorm, Varolz Hulk
Primal Command	1	G	5	Sorcery	3GG	N/A	N/A	Selvala Brostorm
Prismatic Lens	5	C	2	Artifact	2	N/A	N/A	Baral Control, Buried Alive Razaketh Sidisi, Godo Helm, Paradox Arcum, Sidisi Ad Naus Fishbowl
Prohibit	1	U	2	Instant	1U	N/A	N/A	Rashmi Control
Prossh, Skyraider of Kher	1	BRG	6	Creature	3BRG	N/A	N/A	Food Chain Prossh
Protean Hulk	12	G	7	Creature	5GG	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Honorbru Meren, Hulkweaver, Mimeo Reanimator Hulk, Najeela Hermit Hulk, SBT Grave Combos, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Prowling Serpopard	1	G	3	Creature	1GG	N/A	N/A	Harvest Animar
Pull from Eternity	1	W	1	Instant	W	N/A	N/A	Doomsday Breya
Pull from Tomorrow	4	U	2	Instant	XUU	N/A	N/A	Baral Control, High Tide Jace, Rashmi Control, Teferi Chain Veil
Pulse of the Grid	1	U	3	Instant	1UU	N/A	N/A	Teferi Chain Veil
Purphoros, God of the Forge	1	R	4	Enchantment Creature	3R	N/A	N/A	Food Chain Prossh
Putrid Imp	1	B	1	Creature	B	N/A	N/A	Gitrog Dredge
Pyretic Ritual	1	R	2	Instant	1R	N/A	N/A	Godo Helm
Pyroblast	18	R	1	Instant	R	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Blood Pod, Breya Consultation, Divergent Control, Doomsday Breya, Food Chain Prossh, Godo Helm, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, T&T Hulkball
Pyroclasm	1	R	2	Sorcery	1R	N/A	N/A	Opus Thief
Qasali Pridemage	1	WG	2	Creature	GW	N/A	N/A	Paradox Sisay
Quicken	1	U	1	Instant	U	N/A	N/A	Shimmer Zur
Quirion Ranger	5	G	1	Creature	G	N/A	N/A	Meta Pod, Midrange Yisan, Momir Hackball, Paradox Sisay, Selvala Brostorm
Rain of Filth	7	B	1	Instant	B	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Gitrog Dredge, Mad Farm, Melt Banana, Sidisi Ad Naus Fishbowl, Varolz Hulk
Rakdos Signet	2	BR	2	Artifact	2	N/A	N/A	4c Rashmi, Mad Farm
Ramunap Excavator	1	G	3	Creature	2G	N/A	N/A	Gitrog Dredge
Rapid Hybridization	3	U	1	Instant	U	N/A	N/A	Rashmi Control, Scepter Control, Seasons Pastigur
Rashmi, Eternities Crafter	1	UG	4	Creature	2GU	N/A	N/A	Rashmi Control
Ravages of War	1	W	4	Sorcery	3W	N/A	N/A	Paradox Sisay
Ravaging Riftwurm	1	G	3	Creature	1GG	N/A	N/A	Selvala Brostorm
Ravenous Slime	1	G	3	Creature	2G	N/A	N/A	Midrange Yisan
Razaketh, the Foulblooded	9	B	8	Creature	5BBB	N/A	N/A	4c Lightning Druid, Buried Alive Razaketh Sidisi, Honorbru Meren, Hulkweaver, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Razakats, Scion Reanimator
Reality Shift	5	U	2	Instant	1U	N/A	N/A	Baral Control, Nooze Reanimator, Rashmi Control, Scepter Control, Seasons Pastigur
Reanimate	16	B	1	Sorcery	B	N/A	N/A	4c Lightning Druid, Blood Pod, Buried Alive Razaketh Sidisi, Divergent Control, Grixis Consultation, Grixis Twin, Honorbru Meren, Hulkweaver, Meta Pod, Mimeo Reanimator Hulk, Nooze Reanimator, Razakats, SBT Grave Combos, Scion Reanimator, Sidisi Ad Naus Fishbowl, Varolz Hulk
Reap	1	G	2	Instant	1G	N/A	N/A	4c Rashmi
Reassembling Skeleton	1	B	2	Creature	1B	N/A	N/A	Buried Alive Razaketh Sidisi
Rebuild	2	U	3	Instant	2U	N/A	N/A	Grixis Consultation, Kess Storm
Reckless Bushwhacker	1	R	3	Creature	2R	N/A	1R	Food Chain Prossh
Reclaim	1	G	1	Instant	G	N/A	N/A	Edric Turns
Reclamation Sage	5	G	3	Creature	2G	N/A	N/A	Blood Pod, Honorbru Meren, Midrange Yisan, Momir Hackball, Selvala Brostorm
Recurring Insight	1	U	6	Sorcery	4UU	N/A	N/A	High Tide Jace
Red Elemental Blast	12	R	1	Instant	R	N/A	N/A	BUGR Paradox Scepter, Breya Consultation, Food Chain Prossh, Godo Helm, Grixis Consultation, Grixis Twin, Jeleva Storm, Kraum's MANly Combo, Mad Farm, Meta Pod, Najeela Hermit Hulk, T&T Hulkball
Reflecting Pool	3	C	0	Land	N/A	N/A	N/A	Edric Turns, Harvest Animar, Seasons Pastigur
Regal Force	1	G	7	Creature	4GGG	N/A	N/A	Midrange Yisan
Regrowth	10	G	2	Sorcery	1G	N/A	N/A	4c Rashmi, Bad Farm, Edric Turns, Food Chain Prossh, Food Chain Tazri, HE-MAN, Mimeo Reanimator Hulk, Paradox Scepter Thrasios, Rad Farm, Seasons Pastigur
Remand	2	U	2	Instant	1U	N/A	N/A	Baral Control, Jeleva Storm
Rending Volley	1	R	1	Instant	R	N/A	N/A	Mad Farm
Reshape	1	U	2	Sorcery	XUU	N/A	N/A	Teferi Chain Veil
Rest in Peace	4	W	2	Enchantment	1W	N/A	N/A	HE-MAN, Kraum's MANly Combo, Najeela Tempo, Zuran Consultation
Rhystic Study	12	U	3	Enchantment	2U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Divergent Control, E-MAN, Grixis Consultation, HE-MAN, High Tide Jace, Kraum's MANly Combo, Opus Thief, Scepter Control, Teferi Chain Veil
